file,timestamp,px_um,z_um,set_PinholeSizeAiry,set_Voltage,set_DigitalGain,set_Offset,set_Power,set_ExcitationWavelength,set_LaserScanPixelTime,set_BitsPerPixel,set_Attenuation,set_Zoom,group,n_channels,ZsGr1.background,ZsGr1.p01,ZsGr1.p99,ZsGr1.p999,ZsGr1.total,ZsGr1.mad,ZsGr1.sat_frac,ZsGr1.offset,ZsGr1.n_voxels,ESID.background,ESID.p01,ESID.p99,ESID.p999,ESID.total,ESID.mad,ESID.sat_frac,ESID.offset,ESID.n_voxels,t_min
Control stack (15).czi,2026-08-13T16:43:07.9702781Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,147.0,139.0,451.0,4034.1220000004396,458574041.0,3.0,1.18255615234375e-05,100.0,2621440.0,401.0,78.0,461.0,467.0,999233559.0,42.0,0.0,0.0,2621440.0,75.94671057000001
Control stack (16).czi,2026-08-13T16:45:59.9341139Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,146.0,139.0,237.0,636.0,400981009.0,3.0,0.0,100.0,2621440.0,438.0,142.0,471.0,478.0,1079872716.0,13.0,0.0,0.0,2621440.0,78.81277449999999
Control stack (17).czi,2026-08-13T16:48:45.7115958Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,147.0,140.0,247.0,788.0,406878987.0,3.0,0.0,100.0,2621440.0,445.0,156.0,473.0,479.0,1113128458.0,10.0,0.0,0.0,2621440.0,81.57573253166667
Control stack (18).czi,2026-08-13T16:51:35.742321Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,147.0,140.0,251.0,895.0,407096404.0,2.0,0.0,100.0,2621440.0,437.0,150.0,464.0,470.0,1082252988.0,12.0,0.0,0.0,2621440.0,84.40957795166668
Control stack (19).czi,2026-08-13T16:54:55.7077584Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,147.0,139.0,267.0,911.0,410152555.0,3.0,0.0,100.0,2621440.0,448.0,128.0,478.0,484.0,1109306307.0,13.0,0.0,0.0,2621440.0,87.74233524166667
Control stack (20).czi,2026-08-13T17:00:34.5651399Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,145.0,138.0,251.0,838.0,402799886.0,3.0,0.0,100.0,2621440.0,446.0,161.0,476.0,482.0,1113556454.0,11.0,0.0,0.0,2621440.0,93.38995826666665
Control stack (21).czi,2026-08-13T17:04:31.8447116Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,145.0,138.0,282.0,1448.0,408073901.0,2.0,0.0,100.0,2621440.0,436.0,116.0,468.0,475.0,1070951774.0,15.0,0.0,0.0,2621440.0,97.344617795
oliDA 1en5 stack.czi,2026-08-13T17:52:58.1349419Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,250.0,907.0,395371124.0,2.0,0.0,100.0,2621440.0,443.0,114.0,466.0,472.0,1070467684.0,10.0,0.0,0.0,2621440.0,145.7827883
oliDA 1en5 stack (2).czi,2026-08-13T17:55:48.4136812Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,144.0,137.0,240.0,813.0,396063825.0,2.0,0.0,100.0,2621440.0,448.0,128.0,475.0,481.0,1094028409.0,13.0,0.0,0.0,2621440.0,148.62076728833333
oliDA 1en5 stack (3).czi,2026-08-13T17:59:40.3009444Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,144.0,138.0,262.0,979.5610000002198,401676627.0,2.0,0.0,100.0,2621440.0,450.0,86.0,481.0,487.0,1050825491.0,19.0,0.0,0.0,2621440.0,152.48555500833334
oliDA 1en5 stack (4).czi,2026-08-13T18:03:33.5692866Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,255.0,946.0,398216818.0,3.0,0.0,100.0,2621440.0,454.0,145.0,484.0,491.0,1126560133.0,14.0,0.0,0.0,2621440.0,156.37336071166666
oliDA 1en5 stack (5).czi,2026-08-13T18:06:28.5532951Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,258.0,970.0,396444586.0,2.0,0.0,100.0,2621440.0,454.0,104.0,484.0,491.0,1079715928.0,16.0,0.0,0.0,2621440.0,159.28976085333335
oliDA 1en5 stack (6).czi,2026-08-13T18:09:49.8748101Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,247.0,880.0,395268580.0,2.0,0.0,100.0,2621440.0,405.0,67.0,481.0,488.0,982569972.0,54.0,0.0,0.0,2621440.0,162.64511943666668
oliDA 1en5 stack (7).czi,2026-08-13T18:13:15.8797229Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,144.0,137.0,261.0,1018.0,397945396.0,2.0,0.0,100.0,2621440.0,406.0,60.0,451.0,458.0,962070496.0,27.0,0.0,0.0,2621440.0,166.07853465000002
oliDA 1en5 stack (8).czi,2026-08-13T18:18:11.6436396Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,263.0,927.5610000002198,396448968.0,2.0,0.0,100.0,2621440.0,445.0,144.0,475.0,481.0,1095000200.0,12.0,0.0,0.0,2621440.0,171.00793326166666
oliDA 1en5 stack (9).czi,2026-08-13T18:21:10.7588844Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,244.0,768.0,392196041.0,2.0,0.0,100.0,2621440.0,445.0,144.0,474.0,480.0,1109741638.0,12.0,0.0,0.0,2621440.0,173.99318734166667
oliDA 1en5 stack (10).czi,2026-08-13T18:35:22.7126134Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,144.0,137.0,243.0,725.5610000002198,393318347.0,2.0,0.0,100.0,2621440.0,416.0,73.0,457.0,463.0,976136403.0,28.0,0.0,0.0,2621440.0,188.19241615833334
oliDA 1en5 stack (11).czi,2026-08-13T18:39:54.0491329Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,145.0,138.0,387.0,2389.56100000022,422039978.0,2.0,0.0,100.0,2621440.0,418.0,78.0,452.0,459.0,1009035784.0,21.0,0.0,0.0,2621440.0,192.71469148333333
oliDA 1en5 stack (12).czi,2026-08-13T18:43:42.8512197Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,255.0,950.0,395734093.0,2.0,0.0,100.0,2621440.0,440.0,147.0,465.0,471.0,1094146531.0,10.0,0.0,0.0,2621440.0,196.52805959666665
oliDA 1en5 stack (13).czi,2026-08-13T18:47:51.3024303Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,256.0,855.0,394910876.0,3.0,0.0,100.0,2621440.0,444.0,129.0,473.0,480.0,1083452137.0,13.0,0.0,0.0,2621440.0,200.66891310666668
oliDA 1en5 stack (14).czi,2026-08-13T18:50:55.8069833Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,141.0,134.0,243.0,795.0,387867978.0,2.0,0.0,100.0,2621440.0,444.0,114.0,475.0,482.0,1062016216.0,15.0,0.0,0.0,2621440.0,203.74398899000002
oliDA 1en5 stack (15).czi,2026-08-13T18:54:10.8981419Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,266.0,935.0,397212985.0,3.0,0.0,100.0,2621440.0,439.0,120.0,465.0,471.0,1075014827.0,12.0,0.0,0.0,2621440.0,206.9955083
oliDA 1en5 stack (16).czi,2026-08-13T18:57:18.5868771Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,136.0,251.0,923.0,394096764.0,3.0,0.0,100.0,2621440.0,443.0,109.0,471.0,478.0,1072081870.0,13.0,0.0,0.0,2621440.0,210.12365388666666
oliDA 1en5 stack (17).czi,2026-08-13T19:01:10.5131425Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,143.0,135.0,242.0,775.5610000002198,391496030.0,3.0,0.0,100.0,2621440.0,424.0,118.0,458.0,464.0,1039636004.0,21.0,0.0,0.0,2621440.0,213.98909164333332
oliDA 1en5 stack (18).czi,2026-08-13T19:05:33.1261631Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,142.0,135.0,258.0,1049.5610000002198,394578457.0,2.0,0.0,100.0,2621440.0,439.0,143.0,470.0,477.0,1085697601.0,12.0,0.0,0.0,2621440.0,218.36597532
oliDA 1en5 stack (19).czi,2026-08-13T19:11:00.8849098Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDA 1/5,2,141.0,134.0,250.0,916.0,390420173.0,2.0,0.0,100.0,2621440.0,437.0,89.0,471.0,478.0,1032520639.0,19.0,0.0,0.0,2621440.0,223.82862109833334
oliDAD9 1en5 stack.czi,2026-08-13T19:21:55.4203471Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,134.0,248.0,944.0,390293546.0,2.0,0.0,100.0,2621440.0,447.0,120.0,474.0,479.0,1086507084.0,12.0,0.0,0.0,2621440.0,234.73754505333332
oliDAD9 1en5 stack (2).czi,2026-08-13T19:25:25.8983858Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,142.0,135.0,251.0,909.5610000002198,394166688.0,3.0,0.0,100.0,2621440.0,418.0,127.0,461.0,468.0,1043920044.0,26.0,0.0,0.0,2621440.0,238.24551236500002
oliDAD9 1en5 stack (3).czi,2026-08-13T19:29:03.764847Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,140.0,133.0,241.0,758.0,385139256.0,2.0,0.0,100.0,2621440.0,439.0,126.0,468.0,475.0,1019928544.0,14.0,0.0,0.0,2621440.0,241.87662005166666
oliDAD9 1en5 stack (4).czi,2026-08-13T19:32:23.8482912Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,139.0,132.0,225.0,728.0,378985756.0,2.0,0.0,100.0,2621440.0,446.0,138.0,469.0,476.0,1094207652.0,9.0,0.0,0.0,2621440.0,245.21134412166666
oliDAD9 1en5 stack (5).czi,2026-08-13T19:36:37.6398072Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,134.0,238.0,812.0,384924303.0,2.0,0.0,100.0,2621440.0,446.0,128.0,472.0,478.0,1059376439.0,13.0,0.0,0.0,2621440.0,249.44120272166668
oliDAD9 1en5 stack (6).czi,2026-08-13T19:39:58.5382979Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,139.0,133.0,227.0,881.0,380291219.0,2.0,0.0,100.0,2621440.0,448.0,153.0,475.0,482.0,1119613467.0,10.0,0.0,0.0,2621440.0,252.7895109
oliDAD9 1en5 stack (7).czi,2026-08-13T19:43:33.8456128Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,139.0,132.0,247.0,1002.0,385589018.0,2.0,0.0,100.0,2621440.0,446.0,203.0,477.0,484.0,1121645640.0,12.0,0.0,0.0,2621440.0,256.3779661483333
oliDAD9 1en5 stack (8).czi,2026-08-13T19:49:19.2233673Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,133.0,260.0,985.5610000002198,391469746.0,3.0,0.0,100.0,2621440.0,444.0,129.0,469.0,476.0,1087784685.0,11.0,0.0,0.0,2621440.0,262.13426205666667
oliDAD9 1en5 stack (9).czi,2026-08-13T19:52:57.4198474Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,140.0,133.0,264.0,1005.0,390161752.0,2.0,0.0,100.0,2621440.0,441.0,137.0,474.0,481.0,1060947316.0,16.0,0.0,0.0,2621440.0,265.77087005833334
oliDAD9 1en5 stack (10).czi,2026-08-13T20:18:01.2258602Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,134.0,237.0,869.0,389545640.0,2.0,0.0,100.0,2621440.0,434.0,118.0,468.0,475.0,1069028337.0,15.0,0.0,0.0,2621440.0,290.834303605
oliDAD9 1en5 stack (11).czi,2026-08-13T20:23:02.7281051Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,134.0,263.0,1001.5610000002198,391977997.0,2.0,0.0,100.0,2621440.0,439.0,145.0,464.0,470.0,1061485754.0,11.0,0.0,0.0,2621440.0,295.85934102
oliDAD9 1en5 stack (12).czi,2026-08-13T20:26:15.7111431Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,140.0,133.0,272.0,875.5610000002198,391976419.0,3.0,0.0,100.0,2621440.0,431.0,99.0,472.0,478.0,992983061.0,32.0,0.0,0.0,2621440.0,299.07572498666667
oliDAD9 1en5 stack (13).czi,2026-08-13T20:29:54.5286588Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,133.0,234.0,775.0,384796916.0,3.0,0.0,100.0,2621440.0,379.0,46.0,476.0,482.0,916123838.0,79.0,0.0,0.0,2621440.0,302.7226835816667
oliDAD9 1en5 stack (14).czi,2026-08-13T20:32:53.0248682Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,140.0,133.0,245.0,972.0,388294912.0,2.0,0.0,100.0,2621440.0,445.0,126.0,476.0,482.0,1085354473.0,15.0,0.0,0.0,2621440.0,305.697620405
oliDAD9 1en5 stack (15).czi,2026-08-13T20:36:18.6396287Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,134.0,242.0,796.0,390908497.0,3.0,0.0,100.0,2621440.0,435.0,115.0,466.0,473.0,961549432.0,22.0,0.0,0.0,2621440.0,309.12453308
oliDAD9 1en5 stack (16).czi,2026-08-13T20:39:46.4845167Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,142.0,135.0,262.0,1002.0,398072600.0,3.0,0.0,100.0,2621440.0,439.0,112.0,474.0,481.0,1031584428.0,21.0,0.0,0.0,2621440.0,312.58861454666663
oliDAD9 1en5 stack (17).czi,2026-08-13T20:42:41.8925495Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,134.0,244.0,802.0,389068218.0,3.0,0.0,100.0,2621440.0,443.0,108.0,472.0,479.0,1009974589.0,16.0,0.0,0.0,2621440.0,315.51208176
oliDAD9 1en5 stack (18).czi,2026-08-13T20:46:54.6590069Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,133.0,253.0,886.5610000002198,391718525.0,3.0,0.0,100.0,2621440.0,438.0,19.0,465.0,470.0,943908769.0,19.0,0.0,0.0,2621440.0,319.72485605
